,City,Region,State,IndexMA,IndexTA,IndexMF,IndexTF,IndexML,IndexTL,MFunding,MJobs,MPatents,MExits,TFunding,TJobs,TPatents,TExits,All_E,Female_E,LGBT_E,GDP_Per_Cap,Pop,Location
44,Lexington,Southeast,KY,47,45,49,50,5,4,3.8,20.06,0.54,5.6,0.32,1.9,55.0,40.0,102.0,10.0,0.0,56000.0,0.75,"Lexington, KY"
45,Louisville,Southeast,KY,29,30,44,68,6,3,2.9,10.56,0.26,5.6,0.71,2.6,71.0,51.0,273.0,40.0,0.0,54000.0,1.5,"Louisville, KY"
46,Little Rock,Southeast,AR,18,26,10,36,6,4,2.0,12.73,0.15,2.3,0.19,1.1,14.0,0.0,94.0,10.0,0.0,51000.0,0.91,"Little Rock, AR"
47,Fayetteville,Southeast,AR,51,45,29,72,6,4,2.4,11.1,0.23,16.0,0.24,1.2,26.0,890.0,114.0,19.0,0.0,47000.0,0.55,"Fayetteville, AR"
48,New Orleans,Southeast,LA,33,43,81,68,5,3,5.9,24.93,0.2,0.75,0.71,3.3,28.0,0.0,142.0,14.0,0.0,60000.0,1.5,"New Orleans, LA"
49,Cincinnati,Great Lakes,OH,83,84,7,27,5,3,6.6,90.05,0.54,7.5,2.9,39.0,249.0,2100.0,467.0,39.0,0.0,64000.0,2.2,"Cincinnati, OH"
50,Columbus,Great Lakes,OH,53,53,22,41,5,3,10.0,20.81,0.17,4.6,4.2,9.4,75.0,100.0,465.0,46.0,0.0,61000.0,2.5,"Columbus, OH"
51,Cleveland,Great Lakes,OH,72,65,98,80,5,3,5.5,31.24,0.78,7.0,2.9,17.0,466.0,630.0,606.0,62.0,0.0,60000.0,3.5,"Cleveland, OH"
52,Detroit,Great Lakes,MI,95,94,22,49,7,4,25.0,117.03,0.77,9.6,24.0,120.0,836.0,6700.0,1100.0,135.0,4.0,60000.0,5.4,"Detroit, MI"
53,Lansing,Great Lakes,MI,26,30,22,53,6,5,4.8,10.35,0.2,3.0,0.27,652.0,14.0,1.6,72.0,9.0,0.0,52000.0,0.48,"Lansing, MI"
54,Kalamazoo,Great Lakes,MI,43,45,13,50,6,7,7.4,9.38,0.37,4.6,0.35,469.0,19.0,36.0,54.0,8.0,0.0,43000.0,0.54,"Kalamazoo, MI"
55,Grand Rapids,Great Lakes,MI,52,56,38,45,6,4,4.8,11.65,0.6,7.3,0.55,1.3,76.0,500.0,1216.0,13.0,0.0,55000.0,1.5,"Grand Rapids, MI"
56,Bloomington,Great Lakes,IN,64,70,3,24,5,3,5.0,66.07,0.4,2.1,0.29,3.9,25.0,27.0,62.0,6.0,0.0,44000.0,0.21,"Bloomington, IN"
57,Lafayette,Great Lakes,IN,23,27,8,39,6,4,1.9,10.59,0.28,4.0,0.2,921.0,31.0,28.0,113.0,14.0,0.0,49000.0,0.25,"Lafayette, IN"
58,Indianapolis,Great Lakes,IN,53,55,45,59,7,3,5.8,28.03,0.29,6.2,3.4,16.0,181.0,1500.0,641.0,79.0,1.0,68000.0,2.4,"Indianapolis, IN"
59,Madison,Great Lakes,WI,76,79,65,48,5,3,6.8,39.33,1.02,2.8,3.4,19.0,530.0,66.0,521.0,42.0,0.0,72000.0,0.89,"Madison, WI"
60,Milwaukee,Great Lakes,WI,87,86,85,92,5,3,7.2,139.25,0.98,4.3,1.3,25.0,187.0,78.0,192.0,31.0,0.0,64000.0,2.0,"Milwaukee, WI"
61,Chicago,Great Lakes,IL,95,94,72,72,56,10,12.0,128.15,1.1,7.7,32.0,390.0,3400.0,12000.0,3200.0,395.0,6.0,72000.0,9.9,"Chicago, IL"
62,Champaign,Great Lakes,IL,36,36,17,29,5,4,2.0,16.19,0.48,5.3,0.19,1.5,48.0,0.0,101.0,6.0,0.0,51000.0,0.24,"Champaign, IL"
63,Rochester,Plains,MN,24,32,40,57,6,10,3.1,6.88,0.45,2.1,0.13,296.0,23.0,0.0,51.0,6.0,0.0,63000.0,0.26,"Rochester, MN"
64,Minneapolis,Plains,MN,94,93,83,74,5,3,12.0,95.73,1.01,6.7,12.0,100.0,1100.0,3000.0,1100.0,133.0,0.0,72000.0,4.0,"Minneapolis, MN"
65,St. Louis,Plains,MO,48,48,19,43,76,42,7.1,18.86,0.32,4.9,3.7,10.0,182.0,270.0,576.0,69.0,2.0,61000.0,2.9,"St. Louis, MO"
