FIPS MSA/CMSA,Area Name,Est. Population,Pop. Est. Base,Change,Perc. Change
5330,"Myrtle Beach, SC MSA........................................","178,550","144,053","34,497",23.9
5345,"Naples, FL MSA..............................................","207,029","152,099","54,930",36.1
5360,"Nashville, TN MSA...........................................","1,171,755","985,026","186,729",19
5520,"New London-Norwich, CT-RI MSA...............................","284,087","291,927","-7,840",-2.7
5560,"New Orleans, LA MSA.........................................","1,305,479","1,285,262","20,217",1.6
5602,"New York-Northern New Jersey-Long Island, NY-NJ-CT-PA CMSA..","20,196,649","19,566,968","629,681",3.2
5720,"Norfolk-Virginia Beach-Newport News, VA-NC MSA..............","1,562,635","1,444,710","117,925",8.2
5790,"Ocala, FL MSA...............................................","245,975","194,835","51,140",26.2
5800,"Odessa-Midland, TX MSA......................................","242,238","225,545","16,693",7.4
5880,"Oklahoma City, OK MSA.......................................","1,046,283","958,839","87,444",9.1
5920,"Omaha, NE-IA MSA............................................","698,875","639,580","59,295",9.3
5960,"Orlando, FL MSA.............................................","1,535,004","1,224,844","310,160",25.3
5990,"Owensboro, KY MSA...........................................","91,179","87,189","3,990",4.6
6015,"Panama City, FL MSA.........................................","147,958","126,994","20,964",16.5
6020,"Parkersburg-Marietta, WV-OH MSA.............................","149,366","149,169",197,0.1
6080,"Pensacola, FL MSA...........................................","403,384","344,406","58,978",17.1
6120,"Peoria-Pekin, IL MSA........................................","346,480","339,172","7,308",2.2
6162,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA.....","5,999,034","5,893,019","106,015",1.8
6200,"Phoenix-Mesa, AZ MSA........................................","3,013,696","2,238,498","775,198",34.6
6240,"Pine Bluff, AR MSA..........................................","80,785","85,487","-4,702",-5.5
6280,"Pittsburgh, PA MSA..........................................","2,331,336","2,394,811","-63,475",-2.7
6320,"Pittsfield, MA MSA..........................................","83,565","88,702","-5,137",-5.8
6340,"Pocatello, ID MSA...........................................","74,881","66,026","8,855",13.4
6400,"Portland, ME MSA............................................","234,814","221,248","13,566",6.1
6442,"Portland-Salem, OR-WA CMSA..................................","2,180,996","1,793,476","387,520",21.6
6480,"Providence-Fall River-Warwick, RI-MA MSA....................","1,125,639","1,134,161","-8,522",-0.8
6520,"Provo-Orem, UT MSA..........................................","346,997","263,590","83,407",31.6
6560,"Pueblo, CO MSA..............................................","136,987","123,051","13,936",11.3
6580,"Punta Gorda, FL MSA.........................................","136,992","110,975","26,017",23.4
6640,"Raleigh-Durham-Chapel Hill, NC MSA..........................","1,105,535","858,516","247,019",28.8
6660,"Rapid City, SD MSA..........................................","88,117","81,343","6,774",8.3
6680,"Reading, PA MSA.............................................","358,211","336,523","21,688",6.4
6690,"Redding, CA MSA.............................................","164,530","147,036","17,494",11.9
6720,"Reno, NV MSA................................................","319,816","254,667","65,149",25.6
6740,"Richland-Kennewick-Pasco, WA MSA............................","184,626","150,033","34,593",23.1
6760,"Richmond-Petersburg, VA MSA.................................","961,416","865,640","95,776",11.1
6800,"Roanoke, VA MSA.............................................","227,741","224,592","3,149",1.4
6820,"Rochester, MN MSA...........................................","119,077","106,470","12,607",11.8
6840,"Rochester, NY MSA...........................................","1,079,073","1,062,470","16,603",1.6
6880,"Rockford, IL MSA............................................","358,640","329,676","28,964",8.8
6895,"Rocky Mount, NC MSA.........................................","147,028","133,369","13,659",10.2
6922,"Sacramento-Yolo, CA CMSA....................................","1,741,002","1,506,792","234,210",15.5
6960,"Saginaw-Bay City-Midland, MI MSA............................","400,753","399,320","1,433",0.4
6980,"St. Cloud, MN MSA...........................................","164,913","149,509","15,404",10.3
7000,"St. Joseph, MO MSA..........................................","97,220","97,715",-495,-0.5
7040,"St. Louis, MO-IL MSA........................................","2,569,029","2,492,348","76,681",3.1
7120,"Salinas, CA MSA.............................................","371,756","355,660","16,096",4.5
7160,"Salt Lake City-Ogden, UT MSA................................","1,275,076","1,072,227","202,849",18.9
7200,"San Angelo, TX MSA..........................................","102,300","98,458","3,842",3.9
7240,"San Antonio, TX MSA.........................................","1,564,949","1,324,749","240,200",18.1
7320,"San Diego, CA MSA...........................................","2,820,844","2,498,016","322,828",12.9
7362,"San Francisco-Oakland-San Jose, CA CMSA.....................","6,873,645","6,277,523","596,122",9.5
7460,"San Luis Obispo-Atascadero-Paso Robles, CA MSA..............","236,953","217,162","19,791",9.1
7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA....................","391,071","369,608","21,463",5.8
7490,"Santa Fe, NM MSA............................................","142,509","117,043","25,466",21.8
7510,"Sarasota-Bradenton, FL MSA..................................","550,077","489,483","60,594",12.4
7520,"257,899","30,527",11.8,,
7560,"Scranton--Wilkes-Barre--Hazleton, PA MSA....................","611,492","638,524","-27,032",-4.2
7602,"Seattle-Tacoma-Bremerton, WA CMSA...........................","3,465,760","2,970,300","495,460",16.7
7610,"Sharon, PA MSA..............................................","121,458","121,003",455,0.4
7620,"Sheboygan, WI MSA...........................................","110,136","103,877","6,259",6
7640,"Sherman-Denison, TX MSA.....................................","103,728","95,019","8,709",9.2
7680,"Shreveport-Bossier City, LA MSA.............................","377,673","376,330","1,343",0.4
7720,"Sioux City, IA-NE MSA.......................................","120,577","115,018","5,559",4.8
7760,"Sioux Falls, SD MSA.........................................","164,481","139,236","25,245",18.1
7800,"South Bend, IN MSA..........................................","258,537","247,052","11,485",4.6
7840,"Spokane, WA MSA.............................................","409,736","361,333","48,403",13.4
7880,"Springfield, IL MSA.........................................","204,030","189,550","14,480",7.6
7920,"Springfield, MO MSA.........................................","308,332","264,346","43,986",16.6
8000,"Springfield, MA MSA.........................................","573,940","588,003","-14,063",-2.4
8050,"State College, PA MSA.......................................","132,190","124,812","7,378",5.9
8080,"Steubenville-Weirton, OH-WV MSA.............................","133,292","142,523","-9,231",-6.5
8120,"Stockton-Lodi, CA MSA.......................................","563,183","480,628","82,555",17.2
8140,"Sumter, SC MSA..............................................","112,412","101,276","11,136",11
8160,"Syracuse, NY MSA............................................","732,920","742,237","-9,317",-1.3
8240,"Tallahassee, FL MSA.........................................","260,003","233,609","26,394",11.3
8280,"Tampa-St. Petersburg-Clearwater, FL MSA.....................","2,278,169","2,067,959","210,210",10.2
8320,"Terre Haute, IN MSA.........................................","148,206","147,585",621,0.4
8360,"Texarkana, TX-Texarkana, AR MSA.............................","122,886","120,132","2,754",2.3
8400,"Toledo, OH MSA..............................................","608,976","614,128","-5,152",-0.8
8440,"Topeka, KS MSA..............................................","170,773","160,976","9,797",6.1
8520,"Tucson, AZ MSA..............................................","803,618","666,957","136,661",20.5
