,City,Region,State,NAME,IndexMA,IndexTA,IndexMF,IndexTF,IndexML,IndexTL,MFunding,MJobs,MPatents,MExits,TFunding,TJobs,TPatents,TExits,All_E,Female_E,LGBT_E,GDP_Per_Cap,Pop,Location,CSAFP,CBSAFP,AFFGEOID,GEOID,NAMELSAD,LSAD,ALAND,AWATER,geometry,Lat,Long
0,Albany,Mideast,NY,"Albany-Schenectady-Troy, NY",38,40,12,34,5,3,3600000,26.59,0.27,4000000,470000000,4000,44,28000000,165,18,0,65000,1200000,Albany+NY,104,10580,310M600US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",M1,7282379774,172340496,"POLYGON ((-74.71158 42.517799, -74.698442 42.533559, -74.686092 42.548214, -74.681579 42.553578, -74.681471 42.553706, -74.672428 42.564455, -74.67201799999999 42.564836, -74.65746799999999 42.586721, -74.655641 42.589145, -74.64045400000001 42.612335, -74.63952399999999 42.613935, -74.632974 42.62343, -74.630652 42.62677, -74.63112599999999 42.628931, -74.634011 42.644379, -74.634637 42.647809, -74.635302 42.649733, -74.635763 42.651981, -74.63884400000001 42.661558, -74.639515 42.663654, -74.649074 42.694348, -74.65930400000001 42.727463, -74.659509 42.728038, -74.66030499999999 42.730275, -74.664666 42.742678, -74.664889 42.743266, -74.667512 42.75071, -74.668031 42.764592, -74.665217 42.792237, -74.66026100000001 42.803167, -74.648298 42.829558, -74.626572 42.82535, -74.597718 42.819622, -74.594261 42.818782, -74.58304699999999 42.816688, -74.562477 42.812916, -74.555959 42.810669, -74.554078 42.809863, -74.54338199999999 42.805942, -74.543271 42.805902, -74.535628 42.8031, -74.534837 42.80281, -74.52077300000001 42.797624, -74.51465399999999 42.795337, -74.50995899999999 42.79356, -74.50598100000001 42.79205, -74.47800100000001 42.781696, -74.47761300000001 42.780455, -74.476343 42.781074, -74.46625299999999 42.77728, -74.46327599999999 42.776133, -74.458564 42.774357, -74.454911 42.772979, -74.450783 42.773312, -74.411384 42.77649, -74.392493 42.778016, -74.392231 42.778037, -74.35103100000001 42.78127, -74.34970300000001 42.781376, -74.338796 42.782241, -74.32471700000001 42.783428, -74.299429 42.78361, -74.289446 42.783805, -74.26528999999999 42.795581, -74.26331399999999 42.796534, -74.264672 42.799659, -74.258528 42.802386, -74.255323 42.806064, -74.254778 42.808479, -74.256829 42.812214, -74.238328 42.821432, -74.20754599999999 42.836553, -74.202585 42.839073, -74.20100100000001 42.839689, -74.19920999999999 42.840576, -74.191586 42.84435, -74.190336 42.844965, -74.186414 42.846893, -74.17882299999999 42.850626, -74.15109 42.864047, -74.12520600000001 42.87658, -74.087249 42.895631, -74.084844 42.896869, -74.083883 42.897354, -74.08429700000001 42.900434, -74.084909 42.90466, -74.085148 42.906226, -74.08631699999999 42.912921, -74.08645799999999 42.915137, -74.088114 42.924007, -74.088257 42.927313, -74.09298 42.955868, -74.09381399999999 42.959378, -74.095078 42.968062, -74.096047 42.974093, -74.096132 42.974621, -74.096897 42.979378, -74.09746699999999 42.982934, -74.10114799999999 43.006356, -74.10175099999999 43.010323, -74.101862 43.010918, -74.10205999999999 43.011558, -74.10347400000001 43.020887, -74.104916 43.028888, -74.104899 43.030545, -74.106543 43.040986, -74.10915199999999 43.057553, -74.109914 43.062356, -74.11031800000001 43.064868, -74.11062 43.066753, -74.114176 43.089059, -74.114277 43.089709, -74.11521999999999 43.095813, -74.12272900000001 43.143729, -74.12343 43.148218, -74.124335 43.1539, -74.126081 43.164675, -74.126696 43.168719, -74.127061 43.171025, -74.12740100000001 43.173227, -74.127753 43.175487, -74.12806 43.177448, -74.12838600000001 43.179759, -74.129465 43.187651, -74.130989 43.197407, -74.131214 43.19778, -74.132605 43.206631, -74.13391300000001 43.215473, -74.134338 43.21816, -74.134902 43.221568, -74.136026 43.228831, -74.140147 43.253979, -74.141065 43.259505, -74.14346999999999 43.273979, -74.15006200000001 43.312023, -74.158083 43.359527, -74.1601 43.371532, -74.025462 43.384435, -74.00039099999999 43.386846, -73.90487299999999 43.395943, -73.884139 43.398041, -73.88329899999999 43.397988, -73.883157 43.397015, -73.880737 43.392995, -73.87866699999999 43.390929, -73.87823299999999 43.388203, -73.877392 43.386646, -73.874567 43.384495, -73.873147 43.380426, -73.87279599999999 43.376618, -73.870977 43.372523, -73.872175 43.369216, -73.875159 43.365725, -73.875139 43.361921, -73.873355 43.359744, -73.870715 43.357894, -73.865692 43.355216, -73.864754 43.354178, -73.864321 43.351837, -73.86462299999999 43.346678, -73.86403799999999 43.345496, -73.85917000000001 43.342962, -73.854203 43.339246, -73.853286 43.33775, -73.854309 43.33482, -73.856877 43.333564, -73.858991 43.33032, -73.858647 43.328115, -73.85683299999999 43.326641, -73.854904 43.325315, -73.849363 43.323917, -73.84319000000001 43.318852, -73.842423 43.316927, -73.842426 43.314739, -73.84036399999999 43.313153, -73.836918 43.306611, -73.833466 43.304871, -73.825828 43.305348, -73.82461499999999 43.30427, -73.824789 43.299104, -73.82544799999999 43.295756, -73.826582 43.293005, -73.82694100000001 43.290817, -73.827072 43.289932, -73.827389 43.286415, -73.82750299999999 43.28457, -73.825226 43.278919, -73.825152 43.277545, -73.826077 43.276088, -73.832651 43.270856, -73.83384 43.26936, -73.835567 43.265835, -73.83581100000001 43.253756, -73.834917 43.251004, -73.834034 43.250013, -73.832942 43.249062, -73.832086 43.248854, -73.829179 43.247974, -73.825864 43.245583, -73.82096799999999 43.247985, -73.819532 43.250643, -73.815369 43.250989, -73.81005999999999 43.250538, -73.808375 43.250948, -73.803298 43.25032, -73.792889 43.246243, -73.790845 43.245064, -73.788134 43.243048, -73.784246 43.23908, -73.77949 43.234904, -73.778454 43.233522, -73.775795 43.227968, -73.77269 43.224731, -73.769071 43.222338, -73.767498 43.222123, -73.765269 43.222776, -73.763515 43.22539, -73.761217 43.230699, -73.76021900000001 43.231858, -73.759517 43.232461, -73.753412 43.235726, -73.74395699999999 43.242717, -73.74178499999999 43.246047, -73.741141 43.249382, -73.740354 43.250072, -73.73993400000001 43.251303, -73.737574 43.255226, -73.738124 43.25743, -73.739695 43.260833, -73.73997 43.264709, -73.73851999999999 43.266578, -73.73469 43.268897, -73.73047800000001 43.270774, -73.723291 43.272445, -73.71268600000001 43.273521, -73.70984799999999 43.274291, -73.707849 43.275733, -73.70557599999999 43.278938, -73.703836 43.27935, -73.698235 43.278282, -73.695244 43.278915, -73.69296300000001 43.282733, -73.690162 43.284072, -73.684962 43.280872, -73.68076000000001 43.267371, -73.676626 43.263618, -73.67639 43.263475, -73.669561 43.263871, -73.661061 43.272872, -73.669372 43.280063, -73.675162 43.285072, -73.675862 43.287472, -73.671273 43.293154, -73.668541 43.292484, -73.665862 43.290866, -73.660461 43.290572, -73.65306099999999 43.291272, -73.651377 43.290079, -73.64186100000001 43.293273, -73.64276099999999 43.304172, -73.64105600000001 43.305776, -73.638608 43.306444, -73.635941 43.306998, -73.633064 43.30631, -73.628584 43.304034, -73.62145599999999 43.304748, -73.619736 43.30494, -73.616953 43.305251, -73.609831 43.306542, -73.599463 43.306742, -73.59496 43.306118, -73.59219299999999 43.304, -73.58882199999999 43.300543, -73.588549 43.299414, -73.589111 43.297703, -73.59184999999999 43.295486, -73.59272900000001 43.295084, -73.59496900000001 43.291344, -73.595078 43.290903, -73.59713600000001 43.284114, -73.600044 43.279762, -73.600281 43.277874, -73.600443 43.272052, -73.60073800000001 43.268836, -73.596 43.269117, -73.592356 43.267149, -73.59026299999999 43.264616, -73.589096 43.263714, -73.58722 43.259712, -73.58706100000001 43.258757, -73.586927 43.256255, -73.587857 43.253498, -73.59081999999999 43.250073, -73.59204200000001 43.249361, -73.597082 43.244441, -73.59764 43.243188, -73.597481 43.24095, -73.59497399999999 43.234789, -73.593124 43.232165, -73.589297 43.230836, -73.58595699999999 43.227432, -73.584279 43.222354, -73.581546 43.218897, -73.581357 43.215804, -73.581014 43.213614, -73.579464 43.210677, -73.579279 43.208906, -73.580907 43.205751, -73.583197 43.202268, -73.583546 43.199831, -73.585705 43.19312, -73.585532 43.191139, -73.582346 43.189643, -73.582183 43.189036, -73.581003 43.18249, -73.582212 43.180315, -73.58383600000001 43.176844, -73.58864199999999 43.173026, -73.58983600000001 43.170472, -73.58918300000001 43.168159, -73.587743 43.166793, -73.583827 43.166131, -73.583102 43.164703, -73.583983 43.162824, -73.583651 43.161677, -73.581649 43.159151, -73.58036300000001 43.156432, -73.580254 43.155539, -73.580214 43.152882, -73.58257399999999 43.149866, -73.58489400000001 43.147921, -73.58949699999999 43.141575, -73.59075199999999 43.139488, -73.59093799999999 43.13511, -73.589832 43.131499, -73.588595 43.129627, -73.58655400000001 43.128145, -73.585841 43.126548, -73.585599 43.123665, -73.582588 43.121423, -73.579047 43.120194, -73.577229 43.118976, -73.57586499999999 43.116882, -73.575484 43.114851, -73.57611 43.110463, -73.575824 43.108612, -73.575647 43.107558, -73.573342 43.100545, -73.573672 43.098405, -73.57634899999999 43.09459, -73.578228 43.090632, -73.57746899999999 43.086619, -73.575456 43.083982, -73.57529700000001 43.082502, -73.575821 43.080411, -73.5767 43.07934, -73.578024 43.077388, -73.58111599999999 43.073013, -73.58171400000001 43.068695, -73.580817 43.065138, -73.57789099999999 43.058666, -73.578155 43.055787, -73.580865 43.052591, -73.58583299999999 43.049728, -73.58630599999999 43.048716, -73.58699900000001 43.042652, -73.589878 43.037526, -73.59075300000001 43.035821, -73.591578 43.031962, -73.591543 43.02942, -73.590875 43.023241, -73.59129900000001 43.021134, -73.59363500000001 43.01433, -73.596243 43.008884, -73.59744499999999 43.007372, -73.601826 43.004269, -73.605124 43.001378, -73.60669900000001 42.999241, -73.60759 42.994795, -73.608572 42.983852, -73.60928199999999 42.982241, -73.61033399999999 42.981343, -73.624561 42.97426, -73.629425 42.972147, -73.631467 42.969739, -73.629786 42.962607, -73.628708 42.959151, -73.628879 42.955457, -73.629653 42.950265, -73.632305 42.944379, -73.634006 42.942337, -73.635463 42.94129, -73.624561 42.941222, -73.59571699999999 42.941892, -73.585015 42.942113, -73.57727300000001 42.942211, -73.536463 42.942988, -73.517323 42.943356, -73.49964 42.943688, -73.49882100000001 42.943712, -73.46446400000001 42.944259, -73.463863 42.944583, -73.462299 42.944806, -73.450593 42.944581, -73.449326 42.945317, -73.449269 42.951217, -73.44061600000001 42.953683, -73.436049 42.956798, -73.43316 42.958241, -73.430623 42.95865, -73.426845 42.958515, -73.424921 42.955989, -73.420659 42.954903, -73.416349 42.956671, -73.412103 42.957383, -73.408213 42.956932, -73.405584 42.956119, -73.403986 42.954871, -73.404803 42.953205, -73.403842 42.951477, -73.39807500000001 42.953088, -73.395141 42.953288, -73.39210199999999 42.952586, -73.389692 42.950587, -73.38889899999999 42.948237, -73.384129 42.947212, -73.382642 42.947802, -73.381489 42.948252, -73.379366 42.947562, -73.378632 42.945038, -73.37988900000001 42.94403, -73.380235 42.943739, -73.36807 42.944049, -73.35489 42.943993, -73.348715 42.943967, -73.274294 42.943652, -73.274393 42.942482, -73.274466 42.940361, -73.2746505241539 42.9344154055889, -73.27568087289841 42.9012163061314, -73.27580399999999 42.897249, -73.2784875592411 42.8375362992698, -73.27849373826091 42.8373988080025, -73.278673 42.83341, -73.284311 42.834954, -73.285388 42.834093, -73.287063 42.82014, -73.28375 42.813864, -73.285238923874 42.8105108996947, -73.286337 42.808038, -73.28930478752881 42.8040968400041, -73.290944 42.80192, -73.276421 42.746019, -73.264957 42.74594, -73.27310243481701 42.7239939271458, -73.2741450593067 42.7211848060216, -73.3070040761806 42.6326534514115, -73.3125496783094 42.6177120528152, -73.3416444868655 42.5393225251104, -73.34727644444 42.5241484608622, -73.35252699999999 42.510002, -73.378924 42.507633, -73.396456 42.50577, -73.46248300000001 42.498793, -73.497631 42.495241, -73.49989600000001 42.494758, -73.50846300000001 42.493731, -73.52069 42.492207, -73.52616399999999 42.49157, -73.52815699999999 42.491363, -73.529774 42.491128, -73.541521 42.489703, -73.54616 42.489143, -73.55439699999999 42.488163, -73.577236 42.485138, -73.608064 42.482006, -73.624194 42.480398, -73.63157200000001 42.479593, -73.633178 42.479478, -73.650462 42.477707, -73.659446 42.476786, -73.684729 42.474194, -73.689657 42.473691, -73.690952 42.473531, -73.69867600000001 42.472736, -73.71799 42.470751, -73.737797 42.468715, -73.783721 42.464231, -73.79186199999999 42.463367, -73.80008100000001 42.462493, -73.80027699999999 42.462473, -73.807895 42.461663, -73.808021 42.46165, -73.809251 42.461519, -73.809414 42.461501, -73.812442 42.461179, -73.83675700000001 42.458592, -73.854061 42.456097, -73.86559 42.454372, -73.876035 42.452881, -73.892771 42.45055, -73.903599 42.448999, -73.930699 42.445192, -73.948003 42.443204, -73.963792 42.441622, -73.995803 42.43829, -74.01755300000001 42.435795, -74.028744 42.434502, -74.084058 42.427643, -74.090671 42.426834, -74.117311 42.423608, -74.126442 42.422984, -74.130067 42.422515, -74.14965599999999 42.419995, -74.157858 42.418932, -74.17542400000001 42.416955, -74.194807 42.414824, -74.19818600000001 42.414453, -74.20147 42.414093, -74.225652 42.411408, -74.232356 42.410663, -74.240915 42.409712, -74.25430299999999 42.408207, -74.25427000000001 42.408102, -74.245195 42.378799, -74.244692 42.377159, -74.246454 42.378852, -74.24702600000001 42.379152, -74.25506 42.379824, -74.258911 42.379151, -74.260398 42.3784, -74.26151299999999 42.376951, -74.26535699999999 42.37456, -74.2679 42.371746, -74.269549 42.368354, -74.27347399999999 42.365032, -74.276645 42.363349, -74.281931 42.362773, -74.28403299999999 42.361761, -74.293001 42.36121, -74.299468 42.362575, -74.303797 42.36101, -74.30854600000001 42.359817, -74.31258200000001 42.35709, -74.31750099999999 42.360007, -74.320965 42.360661, -74.324843 42.359834, -74.329364 42.357375, -74.332793 42.35715, -74.337012 42.358282, -74.340968 42.358479, -74.346087 42.355691, -74.348139 42.357997, -74.350965 42.359783, -74.355323 42.361142, -74.35717 42.364656, -74.362976 42.36728, -74.366547 42.367776, -74.371723 42.370145, -74.37459 42.370129, -74.37617899999999 42.370655, -74.378319 42.372487, -74.379051 42.373873, -74.38396899999999 42.372565, -74.41895100000001 42.362194, -74.43181 42.358436, -74.43815499999999 42.35658, -74.443506 42.355017, -74.45622400000001 42.360126, -74.467889 42.364811, -74.476274 42.368178, -74.498953 42.377146, -74.517562 42.384484, -74.52669299999999 42.388085, -74.543474 42.394704, -74.55258600000001 42.398299, -74.56752400000001 42.404193, -74.58886099999999 42.412583, -74.617778 42.423946, -74.61889499999999 42.424389, -74.634925 42.440559, -74.657011 42.462885, -74.664092 42.470043, -74.67161900000001 42.477652, -74.695644 42.501823, -74.699859 42.50605, -74.703761 42.509962, -74.71158 42.517799))",42.614852,-73.970812
1,Albuquerque,Southwest,NM,"Albuquerque, NM",71,70,94,66,86,89,5400000,12.18,2.06,5900000,1000000000,2200,400,200000000,195,17,1,47000,1200000,Albuquerque+NM,106,10740,310M600US10740,10740,"Albuquerque, NM Metro Area",M1,24043885295,31811673,"MULTIPOLYGON (((-106.271362 35.855569, -106.248345 35.855652, -106.248257 35.839178, -106.250581 35.841088, -106.249293 35.842795, -106.255776 35.845099, -106.256835 35.846447, -106.261006 35.846727, -106.263422 35.848718, -106.263196 35.8505, -106.265742 35.851919, -106.270941 35.852638, -106.276983 35.855547, -106.271362 35.855569)), ((-107.626511 36.000288, -107.626385 36.030419, -107.62636 36.036858, -107.626279 36.059118, -107.626217 36.07388, -107.626154 36.088466, -107.624701 36.132405, -107.624697 36.132599, -107.624629 36.154241, -107.62457 36.161493, -107.624342 36.190685, -107.624328 36.198123, -107.624283 36.219809, -107.574084 36.21989, -107.571392 36.219896, -107.553755 36.218855, -107.530624 36.21839, -107.498622 36.217987, -107.47589 36.21761, -107.411057 36.218029, -107.304621 36.21463, -107.254029 36.216567, -107.053731 36.216584, -106.992438 36.216564, -106.974888 36.216564, -106.93802 36.216536, -106.93766 36.216536, -106.885053 36.21657, -106.885879 36.117615, -106.885882 36.096482, -106.885875 36.096171, -106.885317 35.998969, -106.875593 35.998599, -106.863509 35.998622, -106.832557 35.998666, -106.80825 35.998799, -106.777468 35.999002, -106.714251 35.999457, -106.529287 36.000352, -106.468643 36.000999, -106.447296 36.00117, -106.399577 36.001243, -106.399279 36.001246, -106.390836 36.001352, -106.38202 36.000445, -106.381557 36.000397, -106.329056 36.001178, -106.247164 36.001434, -106.247164 35.980295, -106.246633 35.973204, -106.248161 35.966327, -106.264217 35.965468, -106.264241 35.97275, -106.282422 35.972812, -106.300374 35.973389, -106.300164 35.958446, -106.316823 35.958537, -106.315436 35.952419, -106.331651 35.951845, -106.333946 35.951759, -106.350032 35.952588, -106.386121 35.95271, -106.385821 35.959935, -106.399469 35.960092, -106.399467 35.952571, -106.399715 35.949082, -106.399716 35.923871, -106.399698 35.89946, -106.399634 35.828233, -106.399627 35.827794, -106.417283 35.82777, -106.417299 35.825507, -106.418519 35.825594, -106.417326 35.821954, -106.418546 35.820743, -106.417982 35.818427, -106.413739 35.817183, -106.414585 35.81456, -106.414024 35.813349, -106.412098 35.812808, -106.411148 35.810862, -106.408407 35.8101, -106.406565 35.810293, -106.406091 35.809268, -106.403599 35.808153, -106.4007 35.807567, -106.396666 35.808499, -106.392393 35.8086, -106.389781 35.807862, -106.386052 35.808876, -106.382358 35.80798, -106.377007 35.809735, -106.37407 35.812354, -106.37037 35.813068, -106.366325 35.812063, -106.365189 35.810865, -106.36218 35.811428, -106.359794 35.809814, -106.357017 35.806968, -106.357028 35.816374, -106.351324 35.813795, -106.345243 35.812185, -106.338684 35.807967, -106.332708 35.806969, -106.324911 35.807103, -106.299362 35.797262, -106.29605 35.797249, -106.295426 35.796253, -106.282606 35.791905, -106.266036 35.779497, -106.259879 35.769765, -106.257785 35.769658, -106.255557 35.758854, -106.254466 35.757228, -106.254073 35.754274, -106.250581 35.756308, -106.250581 35.755783, -106.250499 35.755818, -106.250489 35.755498, -106.250162 35.699519, -106.25025 35.675871, -106.250243 35.67537, -106.250253 35.652903, -106.248657 35.652903, -106.248648 35.564774, -106.24865 35.547592, -106.248658 35.546545, -106.248664 35.530919, -106.248668 35.530517, -106.248674 35.505968, -106.248591 35.445689, -106.248831 35.445045, -106.248848 35.443282, -106.248926 35.377522, -106.248948 35.304567, -106.245633 35.304331, -106.245713 35.286402, -106.245655 35.250737, -106.245388 35.244339, -106.245162 35.238661, -106.245052 35.23605, -106.244216 35.215657, -106.244204 35.215184, -106.24349 35.171386, -106.243683 35.170238, -106.243712 35.156278, -106.243618 35.148999, -106.243604 35.145379, -106.243588 35.141705, -106.243586 35.134426, -106.243682 35.119932, -106.243731 35.116282, -106.243812 35.084643, -106.243833 35.08391, -106.243816 35.082555, -106.243832 35.082121, -106.243885 35.054957, -106.243874 35.040003, -106.239916 35.040042, -106.238957 35.040047, -106.226342 35.040146, -106.194713 35.040256, -106.19165 35.040252, -106.191351 35.040256, -106.173868 35.040333, -106.156241 35.040404, -106.139926 35.040514, -106.130734 35.040532, -106.102992 35.040561, -106.067678 35.040643, -106.029524 35.040678, -105.714419 35.041605, -105.682848 35.041633, -105.440309 35.041914, -105.39687 35.041934, -105.290791 35.04203, -105.29087 34.991237, -105.29085 34.955071, -105.290378 34.796562, -105.290286 34.73811, -105.290396 34.606766, -105.312765 34.606951, -105.312777 34.59347, -105.312953 34.405627, -105.313009 34.361769, -105.312707 34.354046, -105.313072 34.347205, -105.312977 34.302924, -105.313111 34.299832, -105.313218 34.260031, -105.349153 34.26017, -105.458074 34.259995, -105.474727 34.260034, -105.477058 34.259935, -105.488056 34.26005, -105.49182 34.259772, -105.59048 34.260052, -105.603379 34.260059, -105.839868 34.26006, -105.88992 34.25999, -105.925968 34.25999, -105.981303 34.259917, -106.064045 34.260002, -106.101744 34.259983, -106.415972 34.259822, -106.416045 34.275411, -106.416289 34.346759, -106.416535 34.347527, -106.416767 34.427683, -106.416924 34.439687, -106.438751 34.437482, -106.456314 34.437054, -106.504624 34.457003, -106.506882 34.457604, -106.564648 34.473894, -106.620576 34.489779, -106.657948 34.500062, -106.660878 34.500763, -106.701138 34.512464, -106.762776 34.529739, -106.768281 34.531262, -106.77306 34.53329, -106.77329 34.533388, -106.797826 34.543802, -106.798089 34.543914, -106.882561 34.579457, -106.882658 34.579531, -106.904423 34.580454, -107.020048 34.579581, -107.201743 34.578757, -107.201969 34.608795, -107.204381 34.608805, -107.203335 34.78303, -107.203312 34.796963, -107.203037 34.811521, -107.203064 34.825614, -107.203014 34.841461, -107.203014 34.855158, -107.203015 34.869616, -107.202707 34.89518, -107.202687 34.898834, -107.202829 34.937407, -107.202841 34.942294, -107.202882 34.957572, -107.198808 34.957578, -107.185582 34.957561, -107.145024 34.957371, -107.066562 34.95719, -107.084164 34.99294, -107.110102 35.044638, -107.178524 35.182169, -107.180697 35.18654, -107.184297 35.19374, -107.197244 35.219459, -107.23889 35.305507, -107.309386 35.305687, -107.310336 35.419535, -107.306122 35.41906, -107.307805 35.52571, -107.30835 35.583474, -107.308394 35.654668, -107.308408 35.66042, -107.308414 35.674916, -107.308422 35.682836, -107.308506 35.697104, -107.308559 35.711597, -107.308587 35.718285, -107.308619 35.725989, -107.308703 35.739997, -107.308638 35.765677, -107.308624 35.784089, -107.308615 35.796198, -107.308603 35.811717, -107.308598 35.818173, -107.308592 35.826308, -107.308576 35.847735, -107.30858 35.856639, -107.308581 35.857862, -107.308579 35.861515, -107.30855 35.868987, -107.308624 35.88539, -107.308641 35.906813, -107.30864 35.912759, -107.308646 35.926306, -107.308645 35.933578, -107.308645 35.940649, -107.308646 35.955186, -107.308647 35.957524, -107.308653 35.969823, -107.308664 35.985502, -107.308667 35.998556, -107.315333 35.998604, -107.345 35.998819, -107.394003 35.999166, -107.430269 35.999436, -107.447256 35.999559, -107.49675 35.999892, -107.501367 35.999923, -107.514755 36.000025, -107.516015 36.000029, -107.531688 36.000143, -107.537398 36.000185, -107.545626 36.000219, -107.557015 36.000256, -107.562446 36.000257, -107.576825 36.000261, -107.585069 36.000265, -107.590152 36.000268, -107.609311 36.000284, -107.616905 36.000287, -107.626418 36.000288, -107.626511 36.000288)))",35.199592,-106.644831
